income,hrs_work,race,age,gender,citizen,time_to_work,lang,married,edu,disability,birth_qrtr
1700,40,other,35,female,yes,15,other,yes,hs or lower,yes,jul thru sep
45000,84,white,27,male,yes,40,english,yes,hs or lower,no,oct thru dec
8600,23,white,69,female,yes,5,english,no,hs or lower,no,jul thru sep
33500,55,white,52,male,yes,20,english,yes,hs or lower,no,apr thru jun
4000,8,white,67,female,yes,10,english,yes,hs or lower,no,apr thru jun
19000,35,white,36,female,yes,15,english,yes,college,no,jul thru sep
140000,40,white,35,female,no,30,other,no,hs or lower,no,jan thru mar
0,8,white,31,female,yes,20,other,no,college,no,jul thru sep
12000,23,asian,32,female,yes,45,other,no,hs or lower,no,apr thru jun
45000,72,black,35,male,yes,25,other,yes,hs or lower,no,oct thru dec
150000,40,white,51,male,yes,10,english,yes,college,no,oct thru dec
70000,50,black,50,male,yes,40,english,yes,college,no,jan thru mar
12000,35,asian,20,female,yes,10,other,no,hs or lower,no,jan thru mar
24500,40,white,61,male,yes,10,english,yes,hs or lower,no,jul thru sep
45000,40,white,61,female,yes,10,english,no,college,no,jan thru mar
70000,35,white,43,female,yes,10,english,yes,college,no,jul thru sep
35000,40,white,27,male,yes,20,english,yes,hs or lower,no,jan thru mar
31000,40,white,32,female,yes,35,english,yes,hs or lower,no,oct thru dec
19000,70,white,28,male,yes,3,other,yes,hs or lower,no,jan thru mar
50000,45,asian,48,male,yes,40,english,yes,grad,no,jul thru sep
85000,50,white,33,male,yes,65,english,yes,college,no,jan thru mar
100000,40,white,27,male,yes,45,english,yes,college,no,jan thru mar
49000,55,white,32,male,yes,10,english,yes,grad,no,apr thru jun
9600,24,white,33,female,yes,5,english,no,hs or lower,no,jan thru mar
333000,55,white,75,male,yes,15,english,no,grad,yes,apr thru jun
70000,50,white,37,male,yes,30,english,yes,college,no,jan thru mar
15000,20,white,64,female,yes,15,english,yes,grad,no,oct thru dec
6500,10,white,22,male,yes,15,english,yes,hs or lower,no,jul thru sep
60000,40,black,50,male,yes,25,english,yes,hs or lower,no,jan thru mar
33000,45,white,28,female,yes,45,english,no,college,no,jan thru mar
60000,50,white,56,male,yes,3,english,yes,hs or lower,no,jul thru sep
31000,38,white,62,female,yes,30,english,yes,hs or lower,yes,jul thru sep
35000,40,white,50,female,yes,30,other,yes,hs or lower,no,oct thru dec
18000,50,asian,50,male,no,99,other,yes,hs or lower,no,jan thru mar
0,50,white,46,female,yes,2,english,yes,grad,no,jul thru sep
10800,29,white,41,female,yes,20,english,yes,college,no,oct thru dec
2000,10,white,16,male,yes,5,english,no,hs or lower,no,oct thru dec
32000,45,white,53,male,yes,15,english,yes,hs or lower,no,apr thru jun
60000,40,white,48,male,yes,25,english,yes,hs or lower,no,apr thru jun
9000,42,white,48,female,yes,20,english,no,hs or lower,no,apr thru jun
